adminAction,adminActionState,argument_month,caseOriginState,caseOrigin_group,caseSourceState,caseSource_group,certReason_group,chief,complex_consolidated_disagreement,days_from_term_start_to_argument,days_from_term_start_to_decision,decision_month,decision_year,docket_category,had_reargument,is_AdminAction_x_Economic,is_FedCirc_Conflict,is_Govt_vs_Business,is_Individual_vs_Govt,is_State_vs_State,is_late_term_argument,is_late_term_decision,issue,issueArea_name,issue_x_jurisdiction,jurisdiction_group,lawMinor,lawSupp,lawType_group,lcDisagreement,lcDispositionDirection,lcDisposition_group,lc_disagree_direction,naturalCourt,num_dockets_in_case,petitionerState,petitioner_group,respondentState,respondent_group,term,threeJudgeFdc,threeJudge_x_issue,duration_days
54.0,,12,10.0,FedDistCt,,FedCircCt,No Reason Given,Vinson,1.0,70,97,1,1947,Merits/Other,0,1,1,1,0,0,1,0,80120.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,12 U.S.C. § 77,600.0,Infrequent Fed Statute,1.0,1.0,Reversed,LC_Disagree_Conservative,1301,1,,US Agency,,Business,1946,0.0,Economic Activity_3Judge_0.0,27.0
,,12,26.0,FedDistCt,,FedCircCt,No Reason Given,Vinson,0.0,76,104,1,1947,Merits/Other,0,0,0,0,0,0,1,0,80040.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,,400.0,Court Rules,0.0,1.0,Reversed,LC_Agree_Conservative,1301,1,,Employee,,Business,1946,0.0,Economic Activity_3Judge_0.0,28.0
,,11,22.0,StateTrialCt,22.0,StateHighCt,Important Question,Vinson,0.0,48,104,1,1947,Merits/Other,0,0,0,0,0,0,1,0,10130.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,,231.0,Const Amendment,0.0,1.0,Procedural,LC_Agree_Conservative,1301,1,,Other/Unknown,22.0,State Govt,1946,0.0,Criminal Procedure_3Judge_0.0,56.0
,,12,21.0,FedDistCt,,FedCircCt,Important Question,Vinson,1.0,79,104,1,1947,Merits/Other,0,0,1,0,0,0,1,0,90110.0,Judicial Power,Judicial Power_via_Certiorari,Certiorari,,400.0,Court Rules,1.0,1.0,Affirmed,LC_Disagree_Conservative,1301,1,,Other/Unknown,,Other/Unknown,1946,0.0,Judicial Power_3Judge_0.0,25.0
,,11,45.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,43,104,1,1947,Merits/Other,0,0,0,0,0,0,1,0,50040.0,Privacy,Privacy_via_Certiorari,Certiorari,,400.0,Court Rules,0.0,1.0,Reversed,LC_Agree_Conservative,1301,1,,Employee,,Other/Unknown,1946,0.0,Privacy_3Judge_0.0,61.0
84.0,,12,17.0,FedDistCt,,FedCircCt,Important Question,Vinson,0.0,70,104,1,1947,Merits/Other,0,0,0,0,0,0,1,0,90320.0,Judicial Power,Judicial Power_via_Certiorari,Certiorari,,363.0,Fed Statute,0.0,2.0,Affirmed,LC_Agree_Liberal,1301,2,,Union,,US Agency,1946,0.0,Judicial Power_3Judge_0.0,34.0
84.0,,12,17.0,FedDistCt,,FedCircCt,Important Question,Vinson,0.0,70,104,1,1947,Merits/Other,0,0,0,0,0,0,1,0,90320.0,Judicial Power,Judicial Power_via_Certiorari,Certiorari,,363.0,Fed Statute,0.0,2.0,Affirmed,LC_Agree_Liberal,1301,2,,US Agency,,US Agency,1946,0.0,Judicial Power_3Judge_0.0,34.0
89.0,,12,,SpecialtyFedCt,,SpecialtyFedCt,Important Question,Vinson,0.0,78,111,1,1947,Merits/Other,0,0,0,0,0,0,1,0,90120.0,Judicial Power,Judicial Power_via_Certiorari,Certiorari,58 Stat. 632,600.0,Infrequent Fed Statute,0.0,1.0,Procedural,LC_Agree_Conservative,1301,1,,Other/Unknown,,US Agency,1946,0.0,Judicial Power_3Judge_0.0,33.0
24.0,,1,10.0,FedDistCt,,FedCircCt,Important Question,Vinson,0.0,98,111,1,1947,Merits/Other,0,0,0,0,0,0,0,0,90120.0,Judicial Power,Judicial Power_via_Certiorari,Certiorari,,,Unknown/Missing,0.0,2.0,Reversed,LC_Agree_Liberal,1301,1,,US Agency,,Other/Unknown,1946,0.0,Judicial Power_3Judge_0.0,13.0
,,12,17.0,StateTrialCt,17.0,StateHighCt,Important Question,Vinson,0.0,69,111,1,1947,Merits/Other,0,0,0,0,0,0,1,0,110030.0,Interstate Relations,Interstate Relations_via_Certiorari,Certiorari,,143.0,Constitution,0.0,3.0,Affirmed,LC_Unspec/Other,1301,1,,Business,,Business,1946,0.0,Interstate Relations_3Judge_0.0,42.0
