argument_month,caseOrigin_group,caseSource_group,certReason_group,chief,complex_consolidated_disagreement,days_from_term_start_to_argument,days_from_term_start_to_decision,decision_month,decision_year,docket_category,had_reargument,is_AdminAction_x_Economic,is_FedCirc_Conflict,is_Govt_vs_Business,is_Individual_vs_Govt,is_State_vs_State,is_late_term_argument,is_late_term_decision,issue,issueArea_name,issue_x_jurisdiction,jurisdiction_group,lawSupp,lawType_group,lcDisagreement,lcDispositionDirection,lcDisposition_group,lc_disagree_direction,naturalCourt,num_dockets_in_case,petitioner_group,respondent_group,term,threeJudgeFdc,threeJudge_x_issue,duration_days,lcDisagreement_is_missing,threeJudgeFdc_is_missing
11,Federal,Federal,Substantive Reasons,Vinson,0.0,42,83,12,1946,Merits/Other,0,0,0,0,1,0,1,1,10430.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Discretionary,600.0,Statutory,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,1,Government,Private Entities,1946,0.0,Criminal Procedure_3Judge_0.0,41.0,0,0
11,Federal,Federal,Substantive Reasons,Vinson,0.0,44,97,1,1947,Merits/Other,0,0,0,0,0,0,1,0,80180.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,507.0,Other/Unknown,0.0,2.0,Affirmed,LC_Agree_Liberal,1301,2,Other/Unknown,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,53.0,0,0
11,Federal,Federal,Substantive Reasons,Vinson,0.0,44,97,1,1947,Merits/Other,0,0,0,0,0,0,1,0,80180.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,507.0,Other/Unknown,0.0,2.0,Affirmed,LC_Agree_Liberal,1301,2,Other/Unknown,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,53.0,0,0
12,State,State,Substantive Reasons,Vinson,0.0,72,97,1,1947,Merits/Other,0,0,0,0,0,0,1,0,80180.0,Economic Activity,Economic Activity_via_Writ,Other,507.0,Other/Unknown,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,1,Other/Unknown,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,25.0,0,0
12,State,State,Procedural/Administrative,Vinson,0.0,72,97,1,1947,Merits/Other,0,1,0,0,0,0,1,0,80100.0,Economic Activity,Economic Activity_via_Appeal,Mandatory,230.0,Constitutional,0.0,2.0,Affirmed,LC_Agree_Liberal,1301,1,Other/Unknown,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,25.0,0,0
12,Federal,Federal,Procedural/Administrative,Vinson,0.0,69,97,1,1947,Merits/Other,0,1,0,0,0,0,1,0,80230.0,Economic Activity,Economic Activity_via_Appeal,Mandatory,343.0,Statutory,0.0,1.0,Reversed/Modified,LC_Agree_Conservative,1301,1,Government,Other/Unknown,1946,1.0,Economic Activity_3Judge_1.0,28.0,0,0
11,Federal,Federal,Substantive Reasons,Vinson,1.0,48,97,1,1947,Merits/Other,0,1,1,0,0,0,1,0,80110.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,,Other/Unknown,1.0,1.0,Reversed/Modified,LC_Disagree_Conservative,1301,1,Private Entities,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,49.0,0,0
12,Federal,Federal,Procedural/Administrative,Vinson,1.0,70,97,1,1947,Merits/Other,0,1,1,1,0,0,1,0,80120.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,600.0,Statutory,1.0,1.0,Reversed/Modified,LC_Disagree_Conservative,1301,1,Government,Private Entities,1946,0.0,Economic Activity_3Judge_0.0,27.0,0,0
12,Federal,Federal,Procedural/Administrative,Vinson,0.0,76,104,1,1947,Merits/Other,0,0,0,0,0,0,1,0,80040.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,400.0,Other/Unknown,0.0,1.0,Reversed/Modified,LC_Agree_Conservative,1301,1,Private Entities,Private Entities,1946,0.0,Economic Activity_3Judge_0.0,28.0,0,0
11,State,State,Substantive Reasons,Vinson,0.0,48,104,1,1947,Merits/Other,0,0,0,0,0,0,1,0,10130.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Discretionary,231.0,Constitutional,0.0,1.0,Other/Unknown,LC_Agree_Conservative,1301,1,Other/Unknown,Government,1946,0.0,Criminal Procedure_3Judge_0.0,56.0,0,0
12,Federal,Federal,Substantive Reasons,Vinson,1.0,79,104,1,1947,Merits/Other,0,0,1,0,0,0,1,0,90110.0,Judicial Power,Judicial Power_via_Certiorari,Discretionary,400.0,Other/Unknown,1.0,1.0,Affirmed,LC_Disagree_Conservative,1301,1,Other/Unknown,Other/Unknown,1946,0.0,Judicial Power_3Judge_0.0,25.0,0,0
11,Federal,Federal,Substantive Reasons,Vinson,0.0,43,104,1,1947,Merits/Other,0,0,0,0,0,0,1,0,50040.0,Other Constitutional,Privacy_via_Certiorari,Discretionary,400.0,Other/Unknown,0.0,1.0,Reversed/Modified,LC_Agree_Conservative,1301,1,Private Entities,Other/Unknown,1946,0.0,Privacy_3Judge_0.0,61.0,0,0
12,Federal,Federal,Substantive Reasons,Vinson,0.0,70,104,1,1947,Merits/Other,0,0,0,0,0,0,1,0,90320.0,Judicial Power,Judicial Power_via_Certiorari,Discretionary,363.0,Statutory,0.0,2.0,Affirmed,LC_Agree_Liberal,1301,2,Private Entities,Government,1946,0.0,Judicial Power_3Judge_0.0,34.0,0,0
12,Federal,Federal,Substantive Reasons,Vinson,0.0,70,104,1,1947,Merits/Other,0,0,0,0,0,0,1,0,90320.0,Judicial Power,Judicial Power_via_Certiorari,Discretionary,363.0,Statutory,0.0,2.0,Affirmed,LC_Agree_Liberal,1301,2,Government,Government,1946,0.0,Judicial Power_3Judge_0.0,34.0,0,0
